Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,6.851563,6.890625,6.843750,6.851563,0.441637,72000
1970-01-05,6.859375,6.898438,6.859375,6.890625,0.444155,446400
1970-01-06,6.890625,6.960938,6.882813,6.960938,0.448687,176000
1970-01-07,6.960938,7.015625,6.945313,7.000000,0.451205,164800
1970-01-08,7.000000,7.109375,6.984375,7.093750,0.457248,304000
1970-01-09,7.093750,7.117188,7.039063,7.078125,0.456241,139200
1970-01-12,7.078125,7.085938,7.031250,7.085938,0.456744,118400
1970-01-13,7.085938,7.125000,7.062500,7.062500,0.455234,262400
1970-01-14,7.070313,7.171875,7.070313,7.140625,0.460270,377600
1970-01-15,7.109375,7.109375,7.000000,7.000000,0.451205,169600
1970-01-16,7.000000,7.046875,6.828125,6.953125,0.448184,289600
1970-01-19,6.875000,6.875000,6.781250,6.812500,0.439119,179200
1970-01-20,6.812500,6.867188,6.781250,6.867188,0.442644,172800
1970-01-21,6.867188,6.867188,6.804688,6.851563,0.441637,272000
1970-01-22,6.851563,6.906250,6.835938,6.890625,0.444155,318400
1970-01-23,6.890625,6.914063,6.820313,6.820313,0.439623,176000
1970-01-26,6.820313,6.867188,6.750000,6.789063,0.437609,278400
1970-01-27,6.789063,6.796875,6.578125,6.578125,0.424012,217600
1970-01-28,6.578125,6.640625,6.531250,6.539063,0.421494,344000
1970-01-29,6.531250,6.531250,6.437500,6.437500,0.414948,296000
1970-01-30,6.437500,6.437500,6.226563,6.273438,0.404373,430400
1970-02-02,6.273438,6.281250,6.226563,6.273438,0.404373,340800
1970-02-03,6.273438,6.468750,6.273438,6.437500,0.414948,692800
1970-02-04,6.437500,6.437500,6.265625,6.304688,0.406387,392000
1970-02-05,6.304688,6.304688,6.250000,6.281250,0.404876,292800
1970-02-06,6.281250,6.304688,6.250000,6.265625,0.403869,313600
1970-02-09,6.273438,6.367188,6.273438,6.328125,0.407897,283200
1970-02-10,6.328125,6.359375,6.296875,6.351563,0.409408,267200
1970-02-11,6.351563,6.382813,6.328125,6.335938,0.408401,392000
1970-02-12,6.382813,6.453125,6.382813,6.453125,0.415955,217600
1970-02-13,6.453125,6.492188,6.429688,6.476563,0.417465,148800
1970-02-16,6.500000,6.609375,6.500000,6.609375,0.426026,142400
1970-02-17,6.640625,6.757813,6.640625,6.695313,0.431565,158400
1970-02-18,6.718750,6.867188,6.718750,6.796875,0.438112,683200
1970-02-19,6.796875,6.843750,6.765625,6.796875,0.438112,272000
1970-02-20,6.796875,6.859375,6.734375,6.750000,0.435091,584000
1970-02-24,6.750000,6.750000,6.695313,6.695313,0.431565,193600
1970-02-25,6.695313,6.859375,6.695313,6.859375,0.442141,299200
1970-02-26,6.859375,6.859375,6.765625,6.835938,0.440630,270400
1970-02-27,6.835938,6.851563,6.765625,6.812500,0.439119,152000
1970-03-02,6.812500,6.859375,6.796875,6.796875,0.438112,112000
1970-03-03,6.796875,6.804688,6.703125,6.734375,0.434083,128000
1970-03-04,6.734375,6.812500,6.718750,6.789063,0.437609,331200
1970-03-05,6.781250,6.781250,6.664063,6.687500,0.431062,168000
1970-03-06,6.687500,6.703125,6.625000,6.656250,0.429048,172800
1970-03-09,6.656250,6.671875,6.578125,6.601563,0.425523,120000
1970-03-10,6.601563,6.648438,6.531250,6.648438,0.428544,444800
1970-03-11,6.648438,6.687500,6.609375,6.640625,0.428040,201600
1970-03-12,6.640625,6.656250,6.593750,6.625000,0.427034,80000
1970-03-13,6.625000,6.648438,6.539063,6.625000,0.427034,155200
1970-03-16,6.531250,6.531250,6.375000,6.390625,0.411926,388800
1970-03-17,6.390625,6.523438,6.390625,6.437500,0.414948,228800
1970-03-18,6.437500,6.468750,6.398438,6.421875,0.413940,236800
1970-03-19,6.421875,6.460938,6.398438,6.445313,0.415451,126400
1970-03-20,6.437500,6.437500,6.328125,6.375000,0.410919,251200
1970-03-23,6.375000,6.390625,6.265625,6.281250,0.404876,393600
1970-03-24,6.312500,6.367188,6.312500,6.335938,0.408401,204800
1970-03-25,6.375000,6.554688,6.375000,6.476563,0.417465,436800
